DeepSeek-V3_NullAssertCF_response,DeepSeek-V3_NullAssertCF_mitigation_response,DeepSeek-V3_NullAssertCF_inline_response,DeepSeek-V3_NullAssertCF_CoT_response,DeepSeek-V3_NullAssertCF_EXM,DeepSeek-V3_NullAssertCF_mitigation_EXM,DeepSeek-V3_NullAssertCF_inline_EXM,DeepSeek-V3_NullAssertCF_CoT_EXM,DeepSeek-V3_NullAssertCF_retrieval,DeepSeek-V3_NullAssertCF_mitigation_retrieval,DeepSeek-V3_NullAssertCF_inline_retrieval,DeepSeek-V3_NullAssertCF_CoT_retrieval,DeepSeek-V3_NullAssertCF_bleu,DeepSeek-V3_NullAssertCF_mitigation_bleu,DeepSeek-V3_NullAssertCF_inline_bleu,DeepSeek-V3_NullAssertCF_CoT_bleu
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
