DeepSeek-V3_TrueFalseAssertCF_response,DeepSeek-V3_TrueFalseAssertCF_mitigation_response,DeepSeek-V3_TrueFalseAssertCF_inline_response,DeepSeek-V3_TrueFalseAssertCF_CoT_response,DeepSeek-V3_TrueFalseAssertCF_EXM,DeepSeek-V3_TrueFalseAssertCF_mitigation_EXM,DeepSeek-V3_TrueFalseAssertCF_inline_EXM,DeepSeek-V3_TrueFalseAssertCF_CoT_EXM,DeepSeek-V3_TrueFalseAssertCF_retrieval,DeepSeek-V3_TrueFalseAssertCF_mitigation_retrieval,DeepSeek-V3_TrueFalseAssertCF_inline_retrieval,DeepSeek-V3_TrueFalseAssertCF_CoT_retrieval,DeepSeek-V3_TrueFalseAssertCF_bleu,DeepSeek-V3_TrueFalseAssertCF_mitigation_bleu,DeepSeek-V3_TrueFalseAssertCF_inline_bleu,DeepSeek-V3_TrueFalseAssertCF_CoT_bleu
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
