Llama3.3_70B_DataFlowCF_response,Llama3.3_70B_DataFlowCF_mitigation_response,Llama3.3_70B_DataFlowCF_inline_response,Llama3.3_70B_DataFlowCF_CoT_response,Llama3.3_70B_DataFlowCF_EXM,Llama3.3_70B_DataFlowCF_mitigation_EXM,Llama3.3_70B_DataFlowCF_inline_EXM,Llama3.3_70B_DataFlowCF_CoT_EXM,Llama3.3_70B_DataFlowCF_retrieval,Llama3.3_70B_DataFlowCF_mitigation_retrieval,Llama3.3_70B_DataFlowCF_inline_retrieval,Llama3.3_70B_DataFlowCF_CoT_retrieval,Llama3.3_70B_DataFlowCF_bleu,Llama3.3_70B_DataFlowCF_mitigation_bleu,Llama3.3_70B_DataFlowCF_inline_bleu,Llama3.3_70B_DataFlowCF_CoT_bleu
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
"['private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }']","['private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }']","['private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { return validateLocksOnReads && isValidationNecessary(tableRef); }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { return validateLocksOnReads && isValidationNecessary(tableRef); }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { return validateLocksOnReads && isValidationNecessary(tableRef); }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }']","['private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { return validateLocksOnReads && isValidationNecessary(tableRef); }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads; returnValue = returnValue && isValidationNecessary(tableRef); return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = false; if (validateLocksOnReads) { returnValue = isValidationNecessary(tableRef); } return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { return validateLocksOnReads && isValidationNecessary(tableRef); }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads; if (validateLocksOnReads) { returnValue = isValidationNecessary(tableRef); } return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads; if (validateLocksOnReads) { returnValue = returnValue && isValidationNecessary(tableRef); } return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = false; if (validateLocksOnReads) { returnValue = isValidationNecessary(tableRef) && validateLocksOnReads; } return returnValue; }', 'private boolean isValidationNecessaryOnReads(TableReference tableRef) { boolean returnValue = validateLocksOnReads && isValidationNecessary(tableRef); if (validateLocksOnReads) { } return returnValue; }']",True,True,True,True,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
"['public static Date parseDate(String date, String format) { Date returnValue = date != null ? parseDate(date, new SimpleDateFormat(format, Locale.getDefault())) : null; return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = parseDate(date != null ? date : """", new SimpleDateFormat(format, Locale.getDefault())) ; return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = date == null ? new Date() : parseDate(date, new SimpleDateFormat(format, Locale.getDefault())) ; return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = date != null ? parseDate(date, new SimpleDateFormat(format, Locale.getDefault())) : new Date() ; return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = parseDate(date == null ? ""1970-01-01"" : date, new SimpleDateFormat(format, Locale.getDefault())) ; return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = date != null ? parseDate(date, new SimpleDateFormat(format, Locale.getDefault())) : new Date(0) ; return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = date != null ? parseDate(date, new SimpleDateFormat(format, Locale.getDefault())) : new Date(0) ; return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = date != null ? parseDate(date, new SimpleDateFormat(format, Locale.getDefault())) : new Date(0) ; return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = date != null ? parseDate(date, new SimpleDateFormat(format, Locale.getDefault())) : new Date(0) ; return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = date != null ? parseDate(date, new SimpleDateFormat(format, Locale.getDefault())) : new Date(0) ; return returnValue; }']","['public static Date parseDate(String date, String format) { Date returnValue = parseDate(date != null ? date : """", new SimpleDateFormat(format, Locale.getDefault())); return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = date != null ? parseDate(date, new SimpleDateFormat(format, Locale.getDefault())) : null; return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = parseDate(date == null ? ""1970-01-01"" : date, new SimpleDateFormat(format, Locale.getDefault())); return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = date != null ? parseDate(date, new SimpleDateFormat(format, Locale.getDefault())) : new Date(); return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = parseDate(date != null ? date : ""01/01/1970"", new SimpleDateFormat(format, Locale.getDefault())); return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = date == null ? null : parseDate(date, new SimpleDateFormat(format, Locale.getDefault())); return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = parseDate(date != null ? date : ""0"", new SimpleDateFormat(format, Locale.getDefault())); return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = date != null ? parseDate(date, new SimpleDateFormat(format, Locale.getDefault())) : new SimpleDateFormat(format, Locale.getDefault()).parse(""01/01/1970""); return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = parseDate(date == null ? """" : date, new SimpleDateFormat(format, Locale.getDefault())); return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = date != null ? parseDate(date, new SimpleDateFormat(format, Locale.getDefault())) : parseDate(""01/01/1970"", new SimpleDateFormat(format, Locale.getDefault())); return returnValue; }']","['public static Date parseDate(String date, String format) { \n    if(date == null) { \n        return null; \n    } \n    Date returnValue = parseDate(date, new SimpleDateFormat(format, Locale.getDefault())); \n    return returnValue; \n}', 'public static Date parseDate(String date, String format) { \n    if(date == null) { \n        throw new NullPointerException(""Date is null""); \n    } \n    Date returnValue = parseDate(date, new SimpleDateFormat(format, Locale.getDefault())); \n    return returnValue; \n}', 'public static Date parseDate(String date, String format) { \n    if(date == null) { \n        throw new NullPointerException(""Date is null""); \n    } \n    Date returnValue = parseDate(date, new SimpleDateFormat(format, Locale.getDefault())); \n    return returnValue; \n}', 'public static Date parseDate(String date, String format) { \n    if(date == null) { \n        return new Date(); \n    } \n    Date returnValue = parseDate(date, new SimpleDateFormat(format, Locale.getDefault())); \n    return returnValue; \n}', 'public static Date parseDate(String date, String format) { \n    if(date == null) { \n        throw new NullPointerException(""Date is null""); \n    } \n    Date returnValue = parseDate(date, new SimpleDateFormat(format, Locale.getDefault())); \n    return returnValue; \n}', 'public static Date parseDate(String date, String format) { \n    if(date == null) { \n        return null; \n    } \n    Date returnValue = parseDate(date, new SimpleDateFormat(format, Locale.getDefault())); \n    return returnValue; \n}', 'public static Date parseDate(String date, String format) { \n    if(date == null) { \n        return new Date(); \n    } \n    Date returnValue = parseDate(date, new SimpleDateFormat(format, Locale.getDefault())); \n    return returnValue; \n}', 'public static Date parseDate(String date, String format) { \n    if(date == null) { \n        throw new NullPointerException(""Date is null""); \n    } \n    Date returnValue = parseDate(date, new SimpleDateFormat(format, Locale.getDefault())); \n    return returnValue; \n}', 'public static Date parseDate(String date, String format) { \n    if(date == null) { \n        return null; \n    } \n    Date returnValue = parseDate(date, new SimpleDateFormat(format, Locale.getDefault())); \n    return returnValue; \n}', 'public static Date parseDate(String date, String format) { \n    if(date == null) { \n        throw new NullPointerException(""Date is null""); \n    } \n    Date returnValue = parseDate(date, new SimpleDateFormat(format, Locale.getDefault())); \n    return returnValue; \n}']","['public static Date parseDate(String date, String format) { Date returnValue = date != null ? parseDate(date, new SimpleDateFormat(format, Locale.getDefault())) : null; return returnValue; }', 'public static Date parseDate(String date, String format) { if (date != null) { Date returnValue = parseDate(date, new SimpleDateFormat(format, Locale.getDefault())); return returnValue; } return null; }', 'public static Date parseDate(String date, String format) { Date returnValue = null; if (date != null) { returnValue = parseDate(date, new SimpleDateFormat(format, Locale.getDefault())); } return returnValue; }', 'public static Date parseDate(String date, String format) { if (date == null) { return null; } Date returnValue = parseDate(date, new SimpleDateFormat(format, Locale.getDefault())); return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue; if (date != null) { returnValue = parseDate(date, new SimpleDateFormat(format, Locale.getDefault())); } else { returnValue = null; } return returnValue; }', 'public static Date parseDate(String date, String format) { return date != null ? parseDate(date, new SimpleDateFormat(format, Locale.getDefault())) : null; }', 'public static Date parseDate(String date, String format) { Date returnValue; if (date == null) { returnValue = null; } else { returnValue = parseDate(date, new SimpleDateFormat(format, Locale.getDefault())); } return returnValue; }', 'public static Date parseDate(String date, String format) { if (date != null) { return parseDate(date, new SimpleDateFormat(format, Locale.getDefault())); } return null; }', 'public static Date parseDate(String date, String format) { Date returnValue = date == null ? null : parseDate(date, new SimpleDateFormat(format, Locale.getDefault())); return returnValue; }', 'public static Date parseDate(String date, String format) { Date returnValue = (date != null) ? parseDate(date, new SimpleDateFormat(format, Locale.getDefault())) : null; return returnValue; }']",False,False,True,True,False,False,False,False,0.45307778036928104,0.45307778036928104,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
"['public String name() { String returnValue = this.json().getString(""name""); return returnValue; }', 'public String name() { return this.json().getString(""name""); }', 'public String name() { String returnValue = this.json().getString(""name""); return returnValue; }', 'public String name() { return this.json().getString(""name""); }', 'public String name() { String returnValue = this.json().getString(""name""); return returnValue; }', 'public String name() { return this.json().getString(""name""); }', 'public String name() { String returnValue = this.json().getString(""name""); return returnValue; }', 'public String name() { return this.json().getString(""name""); }', 'public String name() { String returnValue = this.json().getString(""name""); return returnValue; }', 'public String name() { return this.json().getString(""name""); }']","['public String name() { String returnValue = this.json().getString(""name""); return returnValue; }', 'public String name() { String returnValue =  <START> this.json().getString(""name"") <END>; return returnValue; }', 'public String name() { String returnValue = this.json().getString(""name""); return returnValue; }', 'public String name() { return this.json().getString(""name""); }', 'public String name() { String returnValue = this.json().getString(""name""); return returnValue; }', 'public String name() { String returnValue = this.json().getString(""name""); return returnValue; }', 'public String name() { return this.json().getString(""name""); }', 'public String name() { String returnValue = this.json().getString(""name""); return returnValue; }', 'public String name() { String returnValue = this.json().getString(""name""); return returnValue; }', 'public String name() { return this.json().getString(""name""); }']","['public String name() { String returnValue = this.json().getString(""name""); return returnValue; }', 'public String name() { return this.json().getString(""name""); }', 'public String name() { String returnValue =  Json.createReader(new StringReader(this.obj)).readObject().getString(""name""); return returnValue; }', 'public String name() { return Json.createReader(new StringReader(this.obj)).readObject().getString(""name""); }', 'public String name() { String returnValue = this.json().getString(""name""); }', 'public String name() { this.json().getString(""name""); return returnValue; }', 'public String name() { String returnValue = this.json().getString(""name""); }', 'public String name() { return this.json().getString(""name""); }', 'public String name() { String returnValue = Json.createReader(new StringReader(this.obj)).readObject().getString(""name""); }', 'public String name() { Json.createReader(new StringReader(this.obj)).readObject().getString(""name""); return returnValue; }']","['public String name() { String returnValue = this.json().getString(""name""); return returnValue; }', 'public String name() { return this.json().getString(""name""); }', 'public String name() { String returnValue = this.json().getString(""name""); return returnValue; }', 'public String name() { return this.json().getString(""name""); }', 'public String name() { String returnValue = this.json().getString(""name""); return returnValue; }', 'public String name() { String name = this.json().getString(""name""); return name; }', 'public String name() { return this.json().getString(""name""); }', 'public String name() { String returnValue = this.json().getString(""name""); return returnValue; }', 'public String name() { String name = this.json().getString(""name""); return name; }', 'public String name() { return this.json().getString(""name""); }']",True,True,True,True,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
