Llama3.3_70B_DataTypeCF_response,Llama3.3_70B_DataTypeCF_mitigation_response,Llama3.3_70B_DataTypeCF_inline_response,Llama3.3_70B_DataTypeCF_CoT_response,Llama3.3_70B_DataTypeCF_EXM,Llama3.3_70B_DataTypeCF_mitigation_EXM,Llama3.3_70B_DataTypeCF_inline_EXM,Llama3.3_70B_DataTypeCF_CoT_EXM,Llama3.3_70B_DataTypeCF_retrieval,Llama3.3_70B_DataTypeCF_mitigation_retrieval,Llama3.3_70B_DataTypeCF_inline_retrieval,Llama3.3_70B_DataTypeCF_CoT_retrieval,Llama3.3_70B_DataTypeCF_bleu,Llama3.3_70B_DataTypeCF_mitigation_bleu,Llama3.3_70B_DataTypeCF_inline_bleu,Llama3.3_70B_DataTypeCF_CoT_bleu
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
