Llama3.3_70B_IndependentSwapCF_response,Llama3.3_70B_IndependentSwapCF_mitigation_response,Llama3.3_70B_IndependentSwapCF_inline_response,Llama3.3_70B_IndependentSwapCF_CoT_response,Llama3.3_70B_IndependentSwapCF_EXM,Llama3.3_70B_IndependentSwapCF_mitigation_EXM,Llama3.3_70B_IndependentSwapCF_inline_EXM,Llama3.3_70B_IndependentSwapCF_CoT_EXM,Llama3.3_70B_IndependentSwapCF_retrieval,Llama3.3_70B_IndependentSwapCF_mitigation_retrieval,Llama3.3_70B_IndependentSwapCF_inline_retrieval,Llama3.3_70B_IndependentSwapCF_CoT_retrieval,Llama3.3_70B_IndependentSwapCF_bleu,Llama3.3_70B_IndependentSwapCF_mitigation_bleu,Llama3.3_70B_IndependentSwapCF_inline_bleu,Llama3.3_70B_IndependentSwapCF_CoT_bleu
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
