Llama3.3_70B_TrueFalseAssertCF_response,Llama3.3_70B_TrueFalseAssertCF_mitigation_response,Llama3.3_70B_TrueFalseAssertCF_inline_response,Llama3.3_70B_TrueFalseAssertCF_CoT_response,Llama3.3_70B_TrueFalseAssertCF_EXM,Llama3.3_70B_TrueFalseAssertCF_mitigation_EXM,Llama3.3_70B_TrueFalseAssertCF_inline_EXM,Llama3.3_70B_TrueFalseAssertCF_CoT_EXM,Llama3.3_70B_TrueFalseAssertCF_retrieval,Llama3.3_70B_TrueFalseAssertCF_mitigation_retrieval,Llama3.3_70B_TrueFalseAssertCF_inline_retrieval,Llama3.3_70B_TrueFalseAssertCF_CoT_retrieval,Llama3.3_70B_TrueFalseAssertCF_bleu,Llama3.3_70B_TrueFalseAssertCF_mitigation_bleu,Llama3.3_70B_TrueFalseAssertCF_inline_bleu,Llama3.3_70B_TrueFalseAssertCF_CoT_bleu
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
