T5_IfElseSwap_Org_EXM,LLaMaLoRa_IfElseSwap_Org_EXM,Llama3.3_70B_IfElseSwap_Org_EXM,gpt-3.5-turbo_IfElseSwap_Org_EXM,DeepSeek-V3_IfElseSwap_Org_EXM,IfElseSwap_org_pert_tokenEdit,IfElseSwap_pert_fix_tokenEdit,IfElseSwap_Pert_length,IfElseSwap_pos,IfElseSwap_Wpert_dist,IfElseSwap_pert_dist,IfElseSwap_org_tgt_tokenEdit,T5_EqualAssert_Org_EXM,LLaMaLoRa_EqualAssert_Org_EXM,Llama3.3_70B_EqualAssert_Org_EXM,gpt-3.5-turbo_EqualAssert_Org_EXM,DeepSeek-V3_EqualAssert_Org_EXM,EqualAssert_org_pert_tokenEdit,EqualAssert_pert_fix_tokenEdit,EqualAssert_Pert_length,EqualAssert_pos,EqualAssert_Wpert_dist,EqualAssert_pert_dist,EqualAssert_org_tgt_tokenEdit,T5_NullAssert_Org_EXM,LLaMaLoRa_NullAssert_Org_EXM,Llama3.3_70B_NullAssert_Org_EXM,gpt-3.5-turbo_NullAssert_Org_EXM,DeepSeek-V3_NullAssert_Org_EXM,NullAssert_org_pert_tokenEdit,NullAssert_pert_fix_tokenEdit,NullAssert_Pert_length,NullAssert_pos,NullAssert_Wpert_dist,NullAssert_pert_dist,NullAssert_org_tgt_tokenEdit,T5_TrueFalseAssert_Org_EXM,LLaMaLoRa_TrueFalseAssert_Org_EXM,Llama3.3_70B_TrueFalseAssert_Org_EXM,gpt-3.5-turbo_TrueFalseAssert_Org_EXM,DeepSeek-V3_TrueFalseAssert_Org_EXM,TrueFalseAssert_org_pert_tokenEdit,TrueFalseAssert_pert_fix_tokenEdit,TrueFalseAssert_Pert_length,TrueFalseAssert_pos,TrueFalseAssert_Wpert_dist,TrueFalseAssert_pert_dist,TrueFalseAssert_org_tgt_tokenEdit,T5_DeadException_Org_EXM,LLaMaLoRa_DeadException_Org_EXM,Llama3.3_70B_DeadException_Org_EXM,gpt-3.5-turbo_DeadException_Org_EXM,DeepSeek-V3_DeadException_Org_EXM,DeadException_org_pert_tokenEdit,DeadException_pert_fix_tokenEdit,DeadException_Pert_length,DeadException_pos,DeadException_Wpert_dist,DeadException_pert_dist,DeadException_org_tgt_tokenEdit,T5_DeadVariable_Org_EXM,LLaMaLoRa_DeadVariable_Org_EXM,Llama3.3_70B_DeadVariable_Org_EXM,gpt-3.5-turbo_DeadVariable_Org_EXM,DeepSeek-V3_DeadVariable_Org_EXM,DeadVariable_org_pert_tokenEdit,DeadVariable_pert_fix_tokenEdit,DeadVariable_Pert_length,DeadVariable_pos,DeadVariable_Wpert_dist,DeadVariable_pert_dist,DeadVariable_org_tgt_tokenEdit,T5_TryNcatchWrapper_Org_EXM,LLaMaLoRa_TryNcatchWrapper_Org_EXM,Llama3.3_70B_TryNcatchWrapper_Org_EXM,gpt-3.5-turbo_TryNcatchWrapper_Org_EXM,DeepSeek-V3_TryNcatchWrapper_Org_EXM,TryNcatchWrapper_org_pert_tokenEdit,TryNcatchWrapper_pert_fix_tokenEdit,TryNcatchWrapper_Pert_length,TryNcatchWrapper_pos,TryNcatchWrapper_Wpert_dist,TryNcatchWrapper_pert_dist,TryNcatchWrapper_org_tgt_tokenEdit,T5_IndependentLineSwap_Org_EXM,LLaMaLoRa_IndependentLineSwap_Org_EXM,Llama3.3_70B_IndependentLineSwap_Org_EXM,gpt-3.5-turbo_IndependentLineSwap_Org_EXM,DeepSeek-V3_IndependentLineSwap_Org_EXM,IndependentLineSwap_org_pert_tokenEdit,IndependentLineSwap_pert_fix_tokenEdit,IndependentLineSwap_Pert_length,IndependentLineSwap_pos,IndependentLineSwap_Wpert_dist,IndependentLineSwap_pert_dist,IndependentLineSwap_org_tgt_tokenEdit,T5_ReturnViaVariable_Org_EXM,LLaMaLoRa_ReturnViaVariable_Org_EXM,Llama3.3_70B_ReturnViaVariable_Org_EXM,gpt-3.5-turbo_ReturnViaVariable_Org_EXM,DeepSeek-V3_ReturnViaVariable_Org_EXM,ReturnViaVariable_org_pert_tokenEdit,ReturnViaVariable_pert_fix_tokenEdit,ReturnViaVariable_Pert_length,ReturnViaVariable_pos,ReturnViaVariable_Wpert_dist,ReturnViaVariable_pert_dist,ReturnViaVariable_org_tgt_tokenEdit,T5_defUseBreak_Org_EXM,LLaMaLoRa_defUseBreak_Org_EXM,Llama3.3_70B_defUseBreak_Org_EXM,gpt-3.5-turbo_defUseBreak_Org_EXM,DeepSeek-V3_defUseBreak_Org_EXM,defUseBreak_org_pert_tokenEdit,defUseBreak_pert_fix_tokenEdit,defUseBreak_Pert_length,defUseBreak_pos,defUseBreak_Wpert_dist,defUseBreak_pert_dist,defUseBreak_org_tgt_tokenEdit,T5_DataType_Org_EXM,LLaMaLoRa_DataType_Org_EXM,Llama3.3_70B_DataType_Org_EXM,gpt-3.5-turbo_DataType_Org_EXM,DeepSeek-V3_DataType_Org_EXM,DataType_org_pert_tokenEdit,DataType_pert_fix_tokenEdit,DataType_Pert_length,DataType_pos,DataType_Wpert_dist,DataType_pert_dist,DataType_org_tgt_tokenEdit,T5_RandomNames_Org_EXM,LLaMaLoRa_RandomNames_Org_EXM,Llama3.3_70B_RandomNames_Org_EXM,gpt-3.5-turbo_RandomNames_Org_EXM,DeepSeek-V3_RandomNames_Org_EXM,RandomNames_org_pert_tokenEdit,RandomNames_pert_fix_tokenEdit,RandomNames_Pert_length,RandomNames_pos,RandomNames_Wpert_dist,RandomNames_pert_dist,RandomNames_org_tgt_tokenEdit,T5_ShuffleNames_Org_EXM,LLaMaLoRa_ShuffleNames_Org_EXM,Llama3.3_70B_ShuffleNames_Org_EXM,gpt-3.5-turbo_ShuffleNames_Org_EXM,DeepSeek-V3_ShuffleNames_Org_EXM,ShuffleNames_org_pert_tokenEdit,ShuffleNames_pert_fix_tokenEdit,ShuffleNames_Pert_length,ShuffleNames_pos,ShuffleNames_Wpert_dist,ShuffleNames_pert_dist,ShuffleNames_org_tgt_tokenEdit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,True,,12.0,3.0,25.0,Before,1.0,1.0,3.0,False,False,,True,,9.0,3.0,22.0,Before,1.0,1.0,3.0,False,False,,False,,6.0,3.0,19.0,Surrounding,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,True,,2.0,3.0,13.0,Before,2.5,2.5,3.0,True,True,,True,,2.0,3.0,13.0,Before,2.5,2.5,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,True,True,12.0,3.0,42.0,After,1.0,1.0,3.0,False,True,True,True,True,9.0,3.0,39.0,After,1.0,1.0,3.0,False,False,True,True,True,6.0,3.0,36.0,After,11.83,7.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,9.0,3.0,30.0,Overlap-After,5.0,4.17,3.0,True,True,True,True,True,9.0,3.0,30.0,Overlap-After,3.11,6.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,True,True,False,12.0,4.0,25.0,Before,1.0,1.0,4.0,False,,True,False,False,9.0,4.0,22.0,Before,1.0,1.0,4.0,False,,True,True,True,6.0,4.0,19.0,Surrounding,1.0,1.0,4.0,,,,,,,,,,,,,False,,True,False,True,5.0,4.0,17.0,Surrounding,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,True,True,2.0,4.0,13.0,Overlap-Before,0.5,0.5,4.0,,,,,,,,,,,,
True,,,,,2.0,10.0,37.0,Before,12.5,12.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,12.0,8.0,47.0,Before,26.0,26.0,8.0,True,,,,,9.0,8.0,44.0,Before,26.0,26.0,8.0,True,,,,,6.0,8.0,41.0,Surrounding,6.83,14.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,6.0,13.0,39.0,Overlap-Both,16.33,8.67,8.0,True,,,,,2.0,8.0,35.0,Before,26.0,26.0,8.0,True,,,,,5.0,8.0,35.0,Overlap-Both,11.2,11.2,8.0,False,,,,,5.0,8.0,35.0,Overlap-Both,11.2,11.2,8.0
,,,,,,,,,,,,False,,True,True,False,10.0,1.0,48.0,Before,16.0,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,False,,True,True,False,12.0,1.0,50.0,Before,17.0,17.0,1.0,False,,True,True,True,9.0,1.0,47.0,Before,17.0,17.0,1.0,False,,True,True,True,6.0,1.0,44.0,Surrounding,6.17,10.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,11.0,2.0,48.0,Overlap-Both,0.08,0.5,1.0,,,,,,,,,,,,,True,,True,True,True,8.0,1.0,38.0,Overlap-Both,7.5,7.5,1.0,True,,True,True,True,6.0,1.0,38.0,Overlap-Both,4.83,5.75,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,True,True,13.0,32.0,118.0,Surrounding,40.23,30.5,32.0,False,True,True,True,True,10.0,32.0,115.0,Surrounding,39.7,30.5,32.0,False,True,True,True,True,7.0,32.0,112.0,Surrounding,29.43,30.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,True,True,14.0,32.0,117.0,Overlap-Both,2.29,5.5,32.0,,,,,,,,,,,,,True,True,True,True,True,4.0,32.0,106.0,Overlap-Both,7.75,7.75,32.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,True,False,,12.0,7.0,30.0,Before,1.0,1.0,7.0,False,,False,False,,9.0,7.0,27.0,Before,1.0,1.0,7.0,False,,False,True,,6.0,7.0,24.0,Surrounding,1.0,1.0,7.0,,,,,,,,,,,,,True,,False,True,,5.0,7.0,22.0,Surrounding,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,True,,4.0,7.0,18.0,Overlap-Before,1.0,1.0,7.0,True,,True,True,,0.0,7.0,18.0,Overlap-Both,0.0,0.0,7.0
True,True,True,True,True,4.0,2.0,47.0,Before,12.25,12.25,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,True,True,12.0,2.0,55.0,Before,17.0,17.0,2.0,True,False,True,True,True,9.0,2.0,52.0,Before,17.0,17.0,2.0,False,False,True,True,True,6.0,2.0,49.0,Surrounding,5.33,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,8.0,2.0,48.0,Overlap-Before,0.62,0.25,2.0,,,,,,,,,,,,,False,True,True,True,True,8.0,2.0,43.0,Overlap-Before,5.25,5.25,2.0,True,True,True,True,True,8.0,2.0,43.0,Overlap-Before,5.25,5.25,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,True,False,12.0,6.0,27.0,Before,1.0,1.0,6.0,False,True,True,True,False,9.0,6.0,24.0,Before,1.0,1.0,6.0,False,False,True,True,False,6.0,6.0,21.0,Surrounding,3.5,2.5,6.0,,,,,,,,,,,,,True,False,True,True,True,5.0,6.0,19.0,Surrounding,0.5,0.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,12.0,5.0,52.0,Before,13.0,13.0,5.0,True,,,,,9.0,5.0,49.0,Before,13.0,13.0,5.0,True,,,,,6.0,5.0,46.0,Surrounding,15.5,14.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,11.0,5.0,49.0,Surrounding,10.27,11.0,5.0,,,,,,,,,,,,,True,,,,,3.0,5.0,40.0,Surrounding,11.0,11.0,5.0,,,,,,,,,,,,
