gpt-3.5-turbo_DataTypeCF_response,gpt-3.5-turbo_DataTypeCF_mitigation_response,gpt-3.5-turbo_DataTypeCF_inline_response,gpt-3.5-turbo_DataTypeCF_CoT_response,gpt-3.5-turbo_DataTypeCF_EXM,gpt-3.5-turbo_DataTypeCF_mitigation_EXM,gpt-3.5-turbo_DataTypeCF_inline_EXM,gpt-3.5-turbo_DataTypeCF_CoT_EXM,gpt-3.5-turbo_DataTypeCF_retrieval,gpt-3.5-turbo_DataTypeCF_mitigation_retrieval,gpt-3.5-turbo_DataTypeCF_inline_retrieval,gpt-3.5-turbo_DataTypeCF_CoT_retrieval,gpt-3.5-turbo_DataTypeCF_bleu,gpt-3.5-turbo_DataTypeCF_mitigation_bleu,gpt-3.5-turbo_DataTypeCF_inline_bleu,gpt-3.5-turbo_DataTypeCF_CoT_bleu
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
