gpt-3.5-turbo_IndependentSwapCF_response,gpt-3.5-turbo_IndependentSwapCF_mitigation_response,gpt-3.5-turbo_IndependentSwapCF_inline_response,gpt-3.5-turbo_IndependentSwapCF_CoT_response,gpt-3.5-turbo_IndependentSwapCF_EXM,gpt-3.5-turbo_IndependentSwapCF_mitigation_EXM,gpt-3.5-turbo_IndependentSwapCF_inline_EXM,gpt-3.5-turbo_IndependentSwapCF_CoT_EXM,gpt-3.5-turbo_IndependentSwapCF_retrieval,gpt-3.5-turbo_IndependentSwapCF_mitigation_retrieval,gpt-3.5-turbo_IndependentSwapCF_inline_retrieval,gpt-3.5-turbo_IndependentSwapCF_CoT_retrieval,gpt-3.5-turbo_IndependentSwapCF_bleu,gpt-3.5-turbo_IndependentSwapCF_mitigation_bleu,gpt-3.5-turbo_IndependentSwapCF_inline_bleu,gpt-3.5-turbo_IndependentSwapCF_CoT_bleu
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
